Unnamed: 0.1,Unnamed: 0,University Admission year,Gender,Age (Years),H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily? (Hours ),How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media? (Hours),Status of your English language proficiency,Average attendance on class (Percentage ),Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development? (Hours ),What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly Family Income ,Performance_Category
798,798,2020,Male,22,2020.0,BCSE,10,No,Yes,1,2,Offline,Yes,No,2,Intermediate,100,No,No,No,Web development skill(Backend),2,Data Science,Single,No,Bachelor,Yes,2.76,No,3.8,136.0,55000.0,Poor Performance
799,799,2022,Female,20,2021.0,BCSE,4,No,Yes,3,2,Offline,Yes,Yes,2,Intermediate,85,No,No,Yes,Programming,2,Data Science,Single,Yes,Bachelor,No,1.56,No,2.97,67.0,55000.0,Moderate Performance
800,800,2019,Female,21,2018.0,BCSE,10,No,Yes,1,1,Online,Yes,Yes,9,Intermediate,57,Yes,No,No,Cyber security,1,Hardware,In a relationship,Yes,Bachelor,Yes,1.24,No,2.35,137.0,56000.0,Poor Performance
801,801,2020,Female,21,2019.0,BCSE,10,No,Yes,5,2,Online,Yes,Yes,4,Advance,90,No,No,Yes,Machine Learning,2,Software,Single,Yes,Family,No,1.95,No,2.92,139.0,58000.0,Moderate Performance
802,802,2021,Female,21,2021.0,BCSE,9,No,Yes,1,1,Offline,Yes,Yes,2,Advance,50,Yes,No,No,Cyber security,2,Data Science,Married,Yes,Family,Yes,1.65,No,2.7,139.0,59000.0,Poor Performance
803,803,2018,Female,24,2016.0,BCSE,8,No,Yes,3,2,Online,Yes,Yes,8,Intermediate,89,Yes,No,No,Networking,1,Data Science,Married,No,Family,No,1.11,No,2.35,95.0,60000.0,Moderate Performance
804,804,2020,Female,24,2018.0,BCSE,9,No,Yes,1,2,Offline,Yes,Yes,8,Intermediate,70,No,No,No,Networking,2,Hardware,Single,No,Bachelor,No,1.71,No,2.82,118.0,60000.0,Poor Performance
805,805,2020,Male,23,2019.0,BCSE,11,Yes,Yes,4,2,Online,Yes,Yes,5,Intermediate,95,Yes,No,Yes,Networking,5,Data Science,In a relationship,Yes,Bachelor,No,1.33,No,2.99,104.0,60000.0,Moderate Performance
806,806,2021,Female,20,2020.0,BCSE,9,No,Yes,2,1,Offline,Yes,No,3,Intermediate,100,Yes,No,Yes,Artificial Intelligence,2,Data Science,In a relationship,Yes,Bachelor,No,2.56,No,3.63,106.0,60000.0,Poor Performance
807,807,2022,Male,22,2022.0,BCSE,3,Yes,Yes,4,2,Offline,Yes,Yes,3,Intermediate,100,No,No,No,Web development skill(Frontend),2,UI/UX,Single,No,Bachelor,No,2.81,No,3.97,51.0,60000.0,Poor Performance
808,808,2021,Female,19,2021.0,BCSE,6,No,Yes,7,3,Offline,Yes,Yes,3,Intermediate,89,No,No,No,Programming,1,UI/UX,In a relationship,No,Family,No,1.88,No,2.9,132.0,64000.0,Moderate Performance
809,809,2022,Male,23,2020.0,BCSE,5,Yes,Yes,2,3,Online,Yes,Yes,3,Basic,90,No,No,No,Networking,3,Hardware,Single,Yes,Family,No,2.33,No,3.68,43.0,65000.0,Poor Performance
810,810,2019,Male,24,2018.0,BCSE,11,No,Yes,3,2,Online,Yes,Yes,5,Intermediate,100,No,No,Yes,Web development skill(Frontend),2,Software,Single,No,Bachelor,Yes,2.22,No,3.45,132.0,66000.0,Good Performance
811,811,2021,Male,20,2020.0,BCSE,9,No,Yes,2,1,Offline,Yes,Yes,3,Advance,45,No,No,No,Networking,2,Hardware,Single,No,Bachelor,No,1.45,No,2.53,117.0,66000.0,Poor Performance
812,812,2022,Female,20,2021.0,BCSE,5,No,Yes,4,2,Online,Yes,Yes,3,Intermediate,100,No,No,No,Programming,1,Software,Single,Yes,Bachelor,Yes,1.76,No,2.82,62.0,66000.0,Moderate Performance
813,813,2022,Female,20,2021.0,BCSE,5,Yes,Yes,5,3,Offline,Yes,Yes,3,Intermediate,100,No,No,Yes,Web development skill(Backend),2,Software,Single,Yes,Family,Yes,2.66,No,3.79,58.0,67000.0,Poor Performance
814,814,2020,Female,25,2019.0,BCSE,11,No,Yes,2,2,Offline,Yes,Yes,2,Intermediate,43,Yes,No,Yes,Networking,2,Hardware,In a relationship,Yes,Bachelor,No,2.55,No,3.6,143.0,68000.0,Poor Performance
815,815,2020,Female,21,2020.0,BCSE,11,No,Yes,4,2,Offline,Yes,Yes,3,Intermediate,87,No,No,Yes,Networking,4,Hardware,Married,No,Family,No,2.71,No,3.78,143.0,68000.0,Poor Performance
816,816,2022,Female,20,2021.0,BCSE,5,No,Yes,3,1,Offline,Yes,Yes,8,Intermediate,88,No,No,No,Web development skill(Frontend),3,UI/UX,In a relationship,No,Bachelor,Yes,2.22,No,3.19,87.0,68000.0,Good Performance
